season,lg,type,number_tm,player,position,seas_id,player_id,birth_year,tm,age
1974,NBA,All-Rookie,1st,Mike Bantom,,5930,1526,,PHO,22
1974,ABA,All-Rookie,1st,Mike Green,,5936,1528,1951.0,DNR,22
1974,NBA,All-Rookie,1st,Nick Weatherspoon,,5952,1531,,CAP,23
1974,NBA,All-Rookie,1st,Ron Behagen,,5993,1535,,KCO,23
1974,ABA,All-Rookie,1st,Swen Nater,,6027,1541,1950.0,TOT,24
1973,ABA,All-ABA,1st,Artis Gilmore,C,5229,1338,1949.0,KEN,23
1973,ABA,All-ABA,1st,Billy Cunningham,F,5247,842,1943.0,CAR,29
1973,ABA,All-ABA,1st,Jimmy Jones,G,5444,983,1945.0,UTS,28
1973,ABA,All-ABA,1st,Julius Erving,F,5478,1381,1950.0,VIR,22
1973,ABA,All-ABA,1st,Warren Jabali,G,5632,1153,,DNR,26
1973,ABA,All-ABA,2nd,Dan Issel,F,5312,1259,1948.0,KEN,24
1973,ABA,All-ABA,2nd,George McGinnis,F,5394,1362,1950.0,INA,22
1973,ABA,All-ABA,2nd,Mack Calvin,G,5511,1214,1947.0,CAR,25
1973,ABA,All-ABA,2nd,Mel Daniels,C,5519,1013,1944.0,INA,28
1973,ABA,All-ABA,2nd,Ralph Simpson,G,5558,1317,1949.0,DNR,23
1973,ABA,All-Defense,1st,Artis Gilmore,,5229,1338,1949.0,KEN,23
1973,NBA,All-Defense,1st,Dave DeBusschere,,5317,767,,NYK,32
1973,ABA,All-Defense,1st,Fatty Taylor,,5362,1182,1946.0,VIR,26
1973,NBA,All-Defense,1st,Jerry West,,5431,710,,LAL,34
1973,ABA,All-Defense,1st,Joe Caldwell,,5449,826,1941.0,CAR,31
1973,NBA,All-Defense,1st,John Havlicek,,5459,778,,BOS,32
1973,ABA,All-Defense,1st,Julius Keye,,5479,1202,,DNR,26
