season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2022,NBA,Utah Jazz,UTA,True,82.0,19730.0,3314.0,7318.0,0.453,994.0,2837.0,0.35,2320.0,4481.0,0.518,1199.0,1581.0,0.758,809.0,2599.0,3408.0,1917.0,636.0,352.0,982.0,1664.0,8821.0
2022,NBA,Washington Wizards,WAS,False,82.0,19830.0,3384.0,7287.0,0.464,941.0,2607.0,0.361,2443.0,4680.0,0.522,1475.0,1828.0,0.807,840.0,2786.0,3626.0,1941.0,598.0,344.0,972.0,1634.0,9184.0
2022,NBA,League Average,,False,82.0,19792.0,3331.0,7224.0,0.461,1020.0,2885.0,0.354,2311.0,4340.0,0.533,1389.0,1793.0,0.775,847.0,2798.0,3645.0,2021.0,626.0,386.0,1129.0,1610.0,9071.0
2021,NBA,Atlanta Hawks,ATL,True,72.0,17405.0,2971.0,6418.0,0.463,858.0,2460.0,0.349,2113.0,3958.0,0.534,1219.0,1519.0,0.803,719.0,2352.0,3071.0,1754.0,557.0,363.0,886.0,1422.0,8019.0
2021,NBA,Boston Celtics,BOS,True,72.0,17380.0,2875.0,6191.0,0.464,925.0,2473.0,0.374,1950.0,3718.0,0.524,1329.0,1692.0,0.785,677.0,2382.0,3059.0,1732.0,531.0,334.0,1015.0,1389.0,8004.0
2021,NBA,Brooklyn Nets,BRK,True,72.0,17405.0,3017.0,6573.0,0.459,951.0,2607.0,0.365,2066.0,3966.0,0.521,1228.0,1584.0,0.775,753.0,2348.0,3101.0,1729.0,550.0,330.0,908.0,1361.0,8213.0
2021,NBA,Chicago Bulls,CHI,False,72.0,17380.0,2983.0,6313.0,0.473,829.0,2328.0,0.356,2154.0,3985.0,0.541,1238.0,1600.0,0.774,624.0,2410.0,3034.0,1737.0,614.0,364.0,917.0,1277.0,8033.0
2021,NBA,Charlotte Hornets,CHO,False,72.0,17355.0,2972.0,6346.0,0.468,1042.0,2847.0,0.366,1930.0,3499.0,0.552,1034.0,1387.0,0.745,766.0,2487.0,3253.0,1951.0,582.0,347.0,1062.0,1340.0,8020.0
2021,NBA,Cleveland Cavaliers,CLE,False,72.0,17430.0,3024.0,6245.0,0.484,893.0,2334.0,0.383,2131.0,3911.0,0.545,1143.0,1468.0,0.779,712.0,2437.0,3149.0,1828.0,613.0,425.0,1033.0,1451.0,8084.0
2021,NBA,Dallas Mavericks,DAL,True,72.0,17305.0,2885.0,6269.0,0.46,925.0,2537.0,0.365,1960.0,3732.0,0.525,1238.0,1621.0,0.764,704.0,2460.0,3164.0,1631.0,527.0,264.0,908.0,1446.0,7933.0
